,_id,price,bedroom,bathroom,area,district,city,releaseDate,id
0,{'$oid': '65edbc48f8472f2ffaac7cad'},{'$numberLong': '2500000000'},4,3,120,BUAHBATU (MARGACINTA),KOTA BANDUNG,2024/02/23,916936298
1,{'$oid': '65edbc48f8472f2ffaac7cae'},415000000,2,1,36,KARAWANG BARAT,KAB. KARAWANG,2024/02/18,916685931
2,{'$oid': '65edbc48f8472f2ffaac7caf'},350000000,2,2,100,KARAWACI,KOTA TANGERANG,2024/03/07,917534875
3,{'$oid': '65edbc48f8472f2ffaac7cb0'},2100000000,4,3,138,SEDATI,KAB. SIDOARJO,2024/01/21,912256765
4,{'$oid': '65edbc48f8472f2ffaac7cb1'},890000000,3,2,125,COLOMADU,KAB. KARANGANYAR,2024/03/10,917703440
5,{'$oid': '65edbc48f8472f2ffaac7cb2'},{'$numberLong': '2650000000'},4,3,180,DUREN SAWIT,JAKARTA TIMUR,2024/03/10,917703409
6,{'$oid': '65edbc48f8472f2ffaac7cb3'},{'$numberLong': '14600000000'},6,7,1000,BEKASI BARAT,KOTA BEKASI,2024/03/10,912640744
7,{'$oid': '65edbc48f8472f2ffaac7cb4'},595000000,3,4,140,TAMPAN,KOTA PEKANBARU,2024/03/10,917703398
8,{'$oid': '65edbc48f8472f2ffaac7cb5'},1850000000,2,2,60,GEDEBAGE,KOTA BANDUNG,2024/03/10,917703376
9,{'$oid': '65edbc48f8472f2ffaac7cb6'},575000000,2,1,48,CILEUNYI,KAB. BANDUNG,2024/03/10,917703335
10,{'$oid': '65edbc48f8472f2ffaac7cb7'},{'$numberLong': '7000000000'},4,4,209,CILANDAK,JAKARTA SELATAN,2024/03/10,917703326
11,{'$oid': '65edbc48f8472f2ffaac7cb8'},1630000000,4,3,113,PONDOK GEDE,KOTA BEKASI,2024/03/10,912454714
12,{'$oid': '65edbc48f8472f2ffaac7cb9'},1000000000,3,2,110,PESANGGRAHAN,JAKARTA SELATAN,2024/03/10,912859480
13,{'$oid': '65edbc48f8472f2ffaac7cba'},800000000,2,2,55,TANGERANG,KOTA TANGERANG,2024/03/10,917703290
14,{'$oid': '65edbc48f8472f2ffaac7cbb'},1150000009,3,3,80,CILODONG,KOTA DEPOK,2024/03/10,917703288
15,{'$oid': '65edbc48f8472f2ffaac7cbc'},1500000000,4,4,200,PASAR REBO,JAKARTA TIMUR,2024/03/10,917703265
16,{'$oid': '65edbc48f8472f2ffaac7cbd'},497000000,1,2,50,BUNGURSARI,KOTA TASIKMALAYA,2024/02/29,917201916
17,{'$oid': '65edbc48f8472f2ffaac7cbe'},330000000,2,1,36,TEMBALANG,KOTA SEMARANG,2024/03/04,917379225
18,{'$oid': '65edbc48f8472f2ffaac7cbf'},400000000,2,1,36,CIBODAS,KOTA TANGERANG,2024/02/22,916864434
19,{'$oid': '65edbc48f8472f2ffaac7cc0'},990000000,3,2,120,LAKARSANTRI,KOTA SURABAYA,2024/02/18,799926193
20,{'$oid': '65edbc48f8472f2ffaac7cc1'},900000000,5,4,120,SUKMAJAYA,KOTA DEPOK,2024/03/10,917703263
21,{'$oid': '65edbc48f8472f2ffaac7cc2'},1325000000,4,3,90,CIPAYUNG,JAKARTA TIMUR,2024/03/10,914837294
22,{'$oid': '65edbc48f8472f2ffaac7cc3'},1350000000,2,1,123,TARUMAJAYA,KAB. BEKASI,2024/03/10,917703258
23,{'$oid': '65edbc48f8472f2ffaac7cc4'},500000000,3,2,52,BEKASI TIMUR,KOTA BEKASI,2024/03/10,911038914
24,{'$oid': '65edbc48f8472f2ffaac7cc5'},580000000,2,1,43,BEKASI TIMUR,KOTA BEKASI,2024/03/10,916086413
25,{'$oid': '65edbc48f8472f2ffaac7cc6'},200000000,5,2,400,MENGGALA,KAB. TULANG BAWANG,2024/03/10,917703199
26,{'$oid': '65edbc48f8472f2ffaac7cc7'},870000000,3,2,65,CILANGKAP,JAKARTA TIMUR,2024/03/10,916705356
27,{'$oid': '65edbc48f8472f2ffaac7cc8'},800000001,3,2,55,MUSTIKA JAYA,KOTA BEKASI,2024/03/10,917703165
28,{'$oid': '65edbc48f8472f2ffaac7cc9'},2000000000,4,3,127,MAMPANG PRAPATAN,JAKARTA SELATAN,2024/03/10,917703117
29,{'$oid': '65edbc48f8472f2ffaac7cca'},670000000,3,1,154,MENTENG,JAKARTA PUSAT,2024/03/10,913338447
30,{'$oid': '65edbc48f8472f2ffaac7ccb'},160000000,2,1,100,BANJARMASIN UTARA,KOTA BANJARMASIN,2024/03/10,917703006
31,{'$oid': '65edbc48f8472f2ffaac7ccc'},950000000,2,1,50,GADING SERPONG,KOTA TANGERANG,2024/03/10,917702964
32,{'$oid': '65edbc48f8472f2ffaac7ccd'},165000000,3,1,84,KLAPANUNGGAL,KAB. BOGOR,2024/03/09,917657275
33,{'$oid': '65edbc48f8472f2ffaac7cce'},399000008,2,2,40,CIPUTAT,KOTA TANGERANG SELATAN,2024/03/03,916456070
34,{'$oid': '65edbc48f8472f2ffaac7ccf'},305000000,2,1,60,WALANTAKA,KOTA SERANG,2024/02/20,916785008
35,{'$oid': '65edbc48f8472f2ffaac7cd0'},1550000000,3,3,110,TAMAN,KAB. SIDOARJO,2024/03/02,917295053
36,{'$oid': '65edbc48f8472f2ffaac7cd1'},750000000,3,1,201,PURWAKARTA,KAB. PURWAKARTA,2024/03/10,917702963
37,{'$oid': '65edbc48f8472f2ffaac7cd2'},390000000,2,2,47,SUKUN,KOTA MALANG,2024/03/10,917702960
38,{'$oid': '65edbc48f8472f2ffaac7cd3'},1500000000,2,1,75,TAMAN,KAB. SIDOARJO,2024/03/10,917702954
39,{'$oid': '65edbc48f8472f2ffaac7cd4'},1400000000,3,2,120,JAGAKARSA,JAKARTA SELATAN,2024/03/10,917702940
40,{'$oid': '65edbc48f8472f2ffaac7cd5'},{'$numberLong': '3000000000'},3,2,102,TARUMAJAYA,KAB. BEKASI,2024/03/10,914120092
41,{'$oid': '65edbc48f8472f2ffaac7cd6'},600000000,3,2,70,AJIBARANG,KAB. BANYUMAS,2024/03/10,917702906
42,{'$oid': '65edbc48f8472f2ffaac7cd7'},{'$numberLong': '2500000000'},3,2,11111,SUKALARANG,KAB. SUKABUMI,2024/03/10,917702830
43,{'$oid': '65edbc48f8472f2ffaac7cd8'},{'$numberLong': '91000000000'},7,6,601,CILANDAK,JAKARTA SELATAN,2024/03/10,917702780
44,{'$oid': '65edbc48f8472f2ffaac7cd9'},{'$numberLong': '2900000000'},5,3,37,MEDAN PETISAH,KOTA MEDAN,2024/03/10,917702776
45,{'$oid': '65edbc48f8472f2ffaac7cda'},{'$numberLong': '3750000000'},6,4,200,JATI SAMPURNA,KOTA BEKASI,2024/03/10,901877676
46,{'$oid': '65edbc48f8472f2ffaac7cdb'},1250000000,4,2,130,BEKASI SELATAN,KOTA BEKASI,2024/03/10,900532057
47,{'$oid': '65edbc48f8472f2ffaac7cdc'},1575000000,3,3,110,SERPONG UTARA,KOTA TANGERANG SELATAN,2024/03/10,917702718
48,{'$oid': '65edbc48f8472f2ffaac7cdd'},{'$numberLong': '10000000000'},6,4,250,KEMAYORAN,JAKARTA PUSAT,2024/01/08,907562217
49,{'$oid': '65edbc48f8472f2ffaac7cde'},185000000,2,1,42,MOJOTENGAH,KAB. WONOSOBO,2024/03/07,917540500
50,{'$oid': '65edbc48f8472f2ffaac7cdf'},470000000,2,1,45,TABANAN,KAB. TABANAN,2024/03/06,917511561
51,{'$oid': '65edbc48f8472f2ffaac7ce0'},670000000,3,1,154,BEKASI BARAT,KOTA BEKASI,2024/02/17,916606567
52,{'$oid': '65edbc48f8472f2ffaac7ce1'},{'$numberLong': '3600000000'},4,3,210,SEMARANG SELATAN,KOTA SEMARANG,2024/03/10,917702711
53,{'$oid': '65edbc48f8472f2ffaac7ce2'},{'$numberLong': '7900000000'},3,3,213,KUTA UTARA,BADUNG KAB.,2024/03/10,872870177
54,{'$oid': '65edbc48f8472f2ffaac7ce3'},{'$numberLong': '15500000000'},10,10,1150,BEJI,KOTA DEPOK,2024/03/10,917702673
55,{'$oid': '65edbc48f8472f2ffaac7ce4'},{'$numberLong': '5000000000'},10,10,365,KUTA,BADUNG KAB.,2024/03/10,868498115
56,{'$oid': '65edbc48f8472f2ffaac7ce5'},900000000,3,1,150,MEDAN DENAI,KOTA MEDAN,2024/03/10,917702660
57,{'$oid': '65edbc48f8472f2ffaac7ce6'},{'$numberLong': '2800001000'},10,10,195,SLEMAN,KAB. SLEMAN,2024/03/10,917702627
58,{'$oid': '65edbc48f8472f2ffaac7ce7'},900000008,2,2,50,CISAUK,KAB. TANGERANG,2024/03/10,917702622
59,{'$oid': '65edbc48f8472f2ffaac7ce8'},900000,3,1,150,CIPUTAT,KOTA TANGERANG SELATAN,2024/03/10,917702621
60,{'$oid': '65edbc48f8472f2ffaac7ce9'},{'$numberLong': '4900000000'},3,2,200,KUTA SELATAN,BADUNG KAB.,2024/03/10,867864984
61,{'$oid': '65edbc48f8472f2ffaac7cea'},330000000,2,1,36,PARUNG,KAB. BOGOR,2024/03/10,917702618
62,{'$oid': '65edbc48f8472f2ffaac7ceb'},{'$numberLong': '3000000000'},7,2,225,WONOCOLO,KOTA SURABAYA,2024/03/10,917702612
63,{'$oid': '65edbc48f8472f2ffaac7cec'},1200000,10,10,600,KEMBANGAN,JAKARTA BARAT,2024/02/02,912354586
64,{'$oid': '65edbc48f8472f2ffaac7ced'},16000000,3,2,99,HARJAMUKTI,KOTA CIREBON,2024/01/04,914488493
65,{'$oid': '65edbc48f8472f2ffaac7cee'},860000000,3,2,54,CILEUNGSI,KAB. BOGOR,2024/02/12,910980840
66,{'$oid': '65edbc48f8472f2ffaac7cef'},550000000,2,1,45,BANYUASIN I,KAB. BANYUASIN,2024/02/15,916547731
67,{'$oid': '65edbc48f8472f2ffaac7cf0'},830000000,2,1,60,PONDOK GEDE,KOTA BEKASI,2024/03/10,917702598
68,{'$oid': '65edbc48f8472f2ffaac7cf1'},300000000,2,1,36,KEBAYORAN LAMA,JAKARTA SELATAN,2024/03/10,917702584
69,{'$oid': '65edbc48f8472f2ffaac7cf2'},850000000,4,2,140,SEMARANG SELATAN,KOTA SEMARANG,2024/03/10,917702564
70,{'$oid': '65edbc48f8472f2ffaac7cf3'},{'$numberLong': '2200000000'},5,4,198,MUSTIKA JAYA,KOTA BEKASI,2024/03/10,903568995
71,{'$oid': '65edbc48f8472f2ffaac7cf4'},600000000,2,2,100,JONGGOL,KAB. BOGOR,2024/03/10,864547496
72,{'$oid': '65edbc48f8472f2ffaac7cf5'},670000000,3,2,50,NEGLASARI,KOTA TANGERANG,2024/03/10,917702548
73,{'$oid': '65edbc48f8472f2ffaac7cf6'},650000000,2,2,55,JONGGOL,KAB. BOGOR,2024/03/10,915518497
74,{'$oid': '65edbc48f8472f2ffaac7cf7'},1100000000,3,2,150,JAGAKARSA,JAKARTA SELATAN,2024/03/10,917702494
75,{'$oid': '65edbc48f8472f2ffaac7cf8'},600000000,3,2,73,BOGOR BARAT - KOTA,KOTA BOGOR,2024/03/10,917702479
76,{'$oid': '65edbc48f8472f2ffaac7cf9'},650000000,2,1,115,JONGGOL,KAB. BOGOR,2024/03/10,915518645
77,{'$oid': '65edbc48f8472f2ffaac7cfa'},{'$numberLong': '2500012500'},4,3,181,BATUNUNGGAL,KOTA BANDUNG,2024/03/10,911000287
78,{'$oid': '65edbc48f8472f2ffaac7cfb'},775000000,4,2,165,GEDANGAN,KAB. SIDOARJO,2024/01/24,908739238
79,{'$oid': '65edbc48f8472f2ffaac7cfc'},936000000,1,1,120,SUKODONO,KAB. SIDOARJO,2024/02/07,916217131
80,{'$oid': '65edbc48f8472f2ffaac7cfd'},{'$numberLong': '3200000000'},4,4,400,BANYUWANGI,KAB. BANYUWANGI,2024/02/08,913033484
81,{'$oid': '65edbc48f8472f2ffaac7cfe'},400000000,4,2,60,BOGOR UTARA - KOTA,KOTA BOGOR,2024/02/24,916965470
82,{'$oid': '65edbc48f8472f2ffaac7cff'},600000008,2,1,36,BEKASI BARAT,KOTA BEKASI,2024/03/10,917702468
83,{'$oid': '65edbc48f8472f2ffaac7d00'},1000000000,3,2,75,KELAPA GADING,JAKARTA UTARA,2024/03/10,917702457
84,{'$oid': '65edbc48f8472f2ffaac7d01'},951005700,3,2,91,KIARACONDONG,KOTA BANDUNG,2024/03/10,911001851
85,{'$oid': '65edbc48f8472f2ffaac7d02'},950000000,3,2,160,PONDOK GEDE,KOTA BEKASI,2024/03/10,917702440
86,{'$oid': '65edbc48f8472f2ffaac7d03'},1100000000,3,1,108,CIMANGGIS,KOTA DEPOK,2024/03/10,917702420
87,{'$oid': '65edbc48f8472f2ffaac7d04'},480000000,2,1,48,BATAM KOTA,KOTA BATAM,2024/03/10,917702414
88,{'$oid': '65edbc48f8472f2ffaac7d05'},{'$numberLong': '2500000000'},3,3,1000,CIPANAS,KAB. CIANJUR,2024/03/10,917702411
89,{'$oid': '65edbc48f8472f2ffaac7d06'},600000004,4,3,83,KARAWACI,KOTA TANGERANG,2024/03/10,917702406
90,{'$oid': '65edbc48f8472f2ffaac7d07'},490000000,3,2,144,TANJUNG KARANG PUSAT,KOTA BANDAR LAMPUNG,2024/03/10,917702397
91,{'$oid': '65edbc48f8472f2ffaac7d08'},{'$numberLong': '2700000000'},3,3,165,PONDOK AREN,KOTA TANGERANG SELATAN,2024/03/10,917702378
92,{'$oid': '65edbc48f8472f2ffaac7d09'},{'$numberLong': '15000000000'},5,5,400,KEBAYORAN LAMA,JAKARTA SELATAN,2024/03/10,917702368
93,{'$oid': '65edbc48f8472f2ffaac7d0a'},750000000,1,1,77,KARANGANYAR,KAB. KARANGANYAR,2024/03/10,917669708
94,{'$oid': '65edbc48f8472f2ffaac7d0b'},1900000000,3,2,106,JAMBANGAN,KOTA SURABAYA,2024/03/04,917412126
95,{'$oid': '65edbc48f8472f2ffaac7d0c'},685000000,3,1,90,BEKASI TIMUR,KOTA BEKASI,2024/01/20,882843360
96,{'$oid': '65edbc48f8472f2ffaac7d0d'},715000000,3,2,170,SUKARAJA,KAB. BOGOR,2024/12/12,886016888
97,{'$oid': '65edbc48f8472f2ffaac7d0e'},1000000000,2,2,120,BOGOR TENGAH - KOTA,KOTA BOGOR,2024/03/10,917702357
98,{'$oid': '65edbc48f8472f2ffaac7d0f'},499000000,3,1,36,PAKEM,KAB. SLEMAN,2024/03/10,917702355
99,{'$oid': '65edbc48f8472f2ffaac7d10'},400110000,2,1,40,CILEUNYI,KAB. BANDUNG,2024/03/10,906123598
100,{'$oid': '65edbc48f8472f2ffaac7d11'},795085000,2,2,60,ANTAPANI (CICADAS),KOTA BANDUNG,2024/03/10,898240659
101,{'$oid': '65edbc48f8472f2ffaac7d12'},{'$numberLong': '4850000000'},4,5,250,CIPUTAT,KOTA TANGERANG SELATAN,2024/03/10,917702290
102,{'$oid': '65edbc48f8472f2ffaac7d13'},300000000,6,2,53,TANAH ABANG,JAKARTA PUSAT,2024/03/10,917702270
103,{'$oid': '65edbc48f8472f2ffaac7d14'},535000000,3,1,40,TURI,KAB. SLEMAN,2024/03/10,917702263
104,{'$oid': '65edbc48f8472f2ffaac7d15'},{'$numberLong': '5000000000'},4,5,300,PARONGPONG,KAB. BANDUNG BARAT,2024/03/10,904505158
105,{'$oid': '65edbc48f8472f2ffaac7d16'},410000033,2,1,45,KASIHAN,KAB. BANTUL,2024/03/10,917702241
106,{'$oid': '65edbc48f8472f2ffaac7d17'},{'$numberLong': '3200000000'},4,1,195,PARONGPONG,KAB. BANDUNG BARAT,2024/03/10,915498518
107,{'$oid': '65edbc48f8472f2ffaac7d18'},535000000,3,1,39,CANGKRINGAN,KAB. SLEMAN,2024/03/10,917702221
108,{'$oid': '65edbc48f8472f2ffaac7d19'},599000000,3,2,96,CISAUK,KAB. TANGERANG,2024/02/13,916456393
109,{'$oid': '65edbc48f8472f2ffaac7d1a'},625000000,3,3,80,KRAMAT JATI,JAKARTA TIMUR,2024/02/28,917174056
110,{'$oid': '65edbc48f8472f2ffaac7d1b'},1400000000,2,3,100,BUMI SERPONG DAMAI,KOTA TANGERANG SELATAN,2024/02/28,916473781
111,{'$oid': '65edbc48f8472f2ffaac7d1c'},765000000,3,2,60,TEMBALANG,KOTA SEMARANG,2024/02/28,917138682
112,{'$oid': '65edbc48f8472f2ffaac7d1d'},{'$numberLong': '2500000000'},4,3,150,PARONGPONG,KAB. BANDUNG BARAT,2024/03/10,915498891
113,{'$oid': '65edbc48f8472f2ffaac7d1e'},{'$numberLong': '2950000000'},4,4,155,KELAPA DUA,KAB. TANGERANG,2024/03/10,917702201
114,{'$oid': '65edbc48f8472f2ffaac7d1f'},{'$numberLong': '5400000000'},4,3,216,PONDOK AREN,KOTA TANGERANG SELATAN,2024/03/10,917702182
115,{'$oid': '65edbc48f8472f2ffaac7d20'},{'$numberLong': '6000000000'},8,4,412,TEMBALANG,KOTA SEMARANG,2024/03/10,917702165
116,{'$oid': '65edbc48f8472f2ffaac7d21'},699205000,3,2,69,SETU,KOTA TANGERANG SELATAN,2024/03/10,917702155
117,{'$oid': '65edbc48f8472f2ffaac7d22'},1600000000,3,2,100,KEMBANGAN,JAKARTA BARAT,2024/03/10,917702136
118,{'$oid': '65edbc48f8472f2ffaac7d23'},573000000,4,2,77,TANJUNG PRIOK,JAKARTA UTARA,2024/03/10,917702118
119,{'$oid': '65edbc48f8472f2ffaac7d24'},{'$numberLong': '2750000000'},5,3,240,PONDOK AREN,KOTA TANGERANG SELATAN,2024/03/10,917702107
120,{'$oid': '65edbc48f8472f2ffaac7d25'},{'$numberLong': '2250000000'},10,10,160,GUBENG,KOTA SURABAYA,2024/03/10,917702102
121,{'$oid': '65edbc48f8472f2ffaac7d26'},700000005,2,2,55,TANGERANG,KOTA TANGERANG,2024/03/10,917702093
122,{'$oid': '65edbc48f8472f2ffaac7d27'},1700000000,3,2,150,BEKASI TIMUR,KOTA BEKASI,2024/03/10,917702087
123,{'$oid': '65edbc48f8472f2ffaac7d28'},{'$numberLong': '2450000000'},4,4,150,CIPUTAT,KOTA TANGERANG SELATAN,2024/02/17,916613596
124,{'$oid': '65edbc48f8472f2ffaac7d29'},750000000,4,3,150,CIHIDEUNG,KOTA TASIKMALAYA,2024/03/07,914448836
125,{'$oid': '65edbc48f8472f2ffaac7d2a'},330000000,2,1,36,UJUNG BERUNG,KOTA BANDUNG,2024/03/01,917243759
126,{'$oid': '65edbc48f8472f2ffaac7d2b'},950000000,4,1,150,GUNUNG SINDUR,KAB. BOGOR,2024/01/23,915431220
127,{'$oid': '65edbc48f8472f2ffaac7d2c'},600000001,3,2,52,KARAWACI,KOTA TANGERANG,2024/03/10,917702058
128,{'$oid': '65edbc48f8472f2ffaac7d2d'},1300000000,3,2,77,CIPONDOH,KOTA TANGERANG,2024/03/10,913354795
129,{'$oid': '65edbc48f8472f2ffaac7d2e'},750000000,3,2,68,TOMANG,JAKARTA BARAT,2024/03/10,917702019
130,{'$oid': '65edbc48f8472f2ffaac7d2f'},400000000,2,1,36,TAMBUN SELATAN,KAB. BEKASI,2024/03/10,917702017
131,{'$oid': '65edbc48f8472f2ffaac7d30'},1200000000,4,3,200,CIAMPEA,KAB. BOGOR,2024/03/10,917702014
132,{'$oid': '65edbc48f8472f2ffaac7d31'},699800003,3,2,69,SERPONG UTARA,KOTA TANGERANG SELATAN,2024/03/10,917702001
133,{'$oid': '65edbc48f8472f2ffaac7d32'},450000000,2,1,352,ILIR BARAT I,KOTA PALEMBANG,2024/03/10,917701996
134,{'$oid': '65edbc48f8472f2ffaac7d33'},24500000,2,1,54,JOHAR BARU,JAKARTA PUSAT,2024/03/10,917701970
135,{'$oid': '65edbc48f8472f2ffaac7d34'},150000000,2,1,55,CITEUREUP,KAB. BOGOR,2024/03/10,917701940
136,{'$oid': '65edbc48f8472f2ffaac7d35'},750000000,2,1,60,JATIASIH,KOTA BEKASI,2024/03/10,917701928
137,{'$oid': '65edbc48f8472f2ffaac7d36'},378000033,2,1,45,KASIHAN,KAB. BANTUL,2024/03/10,917701912
138,{'$oid': '65edbc48f8472f2ffaac7d37'},{'$numberLong': '6500000000'},7,3,200,CIPUTAT TIMUR,KOTA TANGERANG SELATAN,2024/01/13,914961241
139,{'$oid': '65edbc48f8472f2ffaac7d38'},1400000000,6,3,180,KARAWACI,KOTA TANGERANG,2024/03/07,917562110
140,{'$oid': '65edbc48f8472f2ffaac7d39'},481000000,2,1,60,DAYEUHKOLOT,KAB. BANDUNG,2024/01/06,914602549
141,{'$oid': '65edbc48f8472f2ffaac7d3a'},{'$numberLong': '3100000000'},5,4,390,SAMARINDA KOTA,KOTA SAMARINDA,2024/02/14,916502958
142,{'$oid': '65edbc48f8472f2ffaac7d3b'},700000004,2,2,55,CIPONDOH,KOTA TANGERANG,2024/03/10,917701898
143,{'$oid': '65edbc48f8472f2ffaac7d3c'},2600000,1,2,60,PASAR MINGGU,JAKARTA SELATAN,2024/03/10,915015697
144,{'$oid': '65edbc48f8472f2ffaac7d3d'},1950000000,3,2,107,KELAPA DUA,KAB. TANGERANG,2024/03/10,915493017
145,{'$oid': '65edbc48f8472f2ffaac7d3e'},{'$numberLong': '2800000000'},5,4,230,DEPOK,KAB. SLEMAN,2024/03/10,917701881
146,{'$oid': '65edbc48f8472f2ffaac7d3f'},699450000,3,2,69,SERPONG,KOTA TANGERANG SELATAN,2024/03/10,917701880
147,{'$oid': '65edbc48f8472f2ffaac7d40'},{'$numberLong': '2450000000'},4,4,160,PASAR MINGGU,JAKARTA SELATAN,2024/03/10,915885734
148,{'$oid': '65edbc48f8472f2ffaac7d41'},{'$numberLong': '2750000000'},3,3,108,KELAPA DUA,KAB. TANGERANG,2024/03/10,913291959
149,{'$oid': '65edbc48f8472f2ffaac7d42'},480000000,2,1,54,MARGAASIH,KAB. BANDUNG,2024/03/10,917701859
150,{'$oid': '65edbc48f8472f2ffaac7d43'},925000007,3,3,80,CILODONG,KOTA DEPOK,2024/03/10,917701855
151,{'$oid': '65edbc48f8472f2ffaac7d44'},{'$numberLong': '3900000000'},4,3,159,KELAPA DUA,KAB. TANGERANG,2024/03/10,913263213
152,{'$oid': '65edbc48f8472f2ffaac7d45'},{'$numberLong': '3700000000'},3,2,125,KELAPA DUA,KAB. TANGERANG,2024/03/10,913229557
153,{'$oid': '65edbc48f8472f2ffaac7d46'},250000000,1,1,21,MRANGGEN,KAB. DEMAK,2024/03/06,917509735
154,{'$oid': '65edbc48f8472f2ffaac7d47'},189000000,2,1,42,KLATEN TENGAH,KAB. KLATEN,2024/12/20,868358990
155,{'$oid': '65edbc48f8472f2ffaac7d48'},475000000,3,1,115,CIAWI,KAB. BOGOR,2024/03/01,917233288
156,{'$oid': '65edbc48f8472f2ffaac7d49'},1175000000,2,3,136,CIMAHI UTARA,KOTA CIMAHI,2024/02/17,901819616
157,{'$oid': '65edbc48f8472f2ffaac7d4a'},573000000,4,2,77,KRAMAT JATI,JAKARTA TIMUR,2024/03/10,917701845
158,{'$oid': '65edbc48f8472f2ffaac7d4b'},{'$numberLong': '3550000000'},3,3,153,PAGEDANGAN,KAB. TANGERANG,2024/03/10,913228948
159,{'$oid': '65edbc48f8472f2ffaac7d4c'},1600000000,3,2,100,PENJARINGAN,JAKARTA UTARA,2024/03/10,888483932
160,{'$oid': '65edbc48f8472f2ffaac7d4d'},650000000,3,2,70,SLEMAN,KAB. SLEMAN,2024/03/10,917701839
161,{'$oid': '65edbc48f8472f2ffaac7d4e'},{'$numberLong': '2700000000'},3,3,112,KELAPA DUA,KAB. TANGERANG,2024/03/10,915493511
162,{'$oid': '65edbc48f8472f2ffaac7d4f'},535000000,3,1,38,SLEMAN,KAB. SLEMAN,2024/03/10,917701833
163,{'$oid': '65edbc48f8472f2ffaac7d50'},{'$numberLong': '6550000000'},8,4,435,KATAPANG,KAB. BANDUNG,2024/03/10,915480232
164,{'$oid': '65edbc48f8472f2ffaac7d51'},400000000,2,2,52,LOWOKWARU,KOTA MALANG,2024/03/10,917701814
165,{'$oid': '65edbc48f8472f2ffaac7d52'},1525000000,4,2,150,NGAGLIK,KAB. SLEMAN,2024/03/10,917701800
166,{'$oid': '65edbc48f8472f2ffaac7d53'},{'$numberLong': '3950000000'},4,4,300,WONOCOLO,KOTA SURABAYA,2024/03/10,917701791
167,{'$oid': '65edbc48f8472f2ffaac7d54'},1700000000,4,3,200,ARCAMANIK,KOTA BANDUNG,2024/03/10,911562709
168,{'$oid': '65edbc48f8472f2ffaac7d55'},555000999,3,2,72,TEMBALANG,KOTA SEMARANG,2024/02/20,916198774
169,{'$oid': '65edbc48f8472f2ffaac7d56'},{'$numberLong': '2800000000'},4,4,180,ANTAPANI (CICADAS),KOTA BANDUNG,2024/03/07,917565054
170,{'$oid': '65edbc48f8472f2ffaac7d57'},575000000,2,1,50,SAWANGAN,KOTA DEPOK,2024/01/18,912523388
171,{'$oid': '65edbc48f8472f2ffaac7d58'},385000000,2,1,80,KUMPEH ULU,KAB. MUARO JAMBI,2024/02/11,916355977
172,{'$oid': '65edbc48f8472f2ffaac7d59'},325000000,2,1,36,SUKARAJA,KAB. BOGOR,2024/03/10,917701780
173,{'$oid': '65edbc48f8472f2ffaac7d5a'},673000015,3,2,62,CIMANGGIS,KOTA DEPOK,2024/03/10,917701779
174,{'$oid': '65edbc48f8472f2ffaac7d5b'},382000033,2,1,45,KASIHAN,KAB. BANTUL,2024/03/10,917701772
175,{'$oid': '65edbc48f8472f2ffaac7d5c'},535000000,3,1,37,NGAGLIK,KAB. SLEMAN,2024/03/10,917701766
176,{'$oid': '65edbc48f8472f2ffaac7d5d'},{'$numberLong': '2650000000'},4,4,220,JAGAKARSA,JAKARTA SELATAN,2024/03/10,915636801
177,{'$oid': '65edbc48f8472f2ffaac7d5e'},190000000,2,1,36,BARUGA,KOTA KENDARI,2024/03/10,917701741
178,{'$oid': '65edbc48f8472f2ffaac7d5f'},{'$numberLong': '3250000000'},4,4,230,CIBUBUR,JAKARTA TIMUR,2024/03/10,917701740
179,{'$oid': '65edbc48f8472f2ffaac7d60'},790800000,3,2,64,BOGOR BARAT - KOTA,KOTA BOGOR,2024/03/10,908201189
180,{'$oid': '65edbc48f8472f2ffaac7d61'},1300000000,3,2,70,PAMULANG,KOTA TANGERANG SELATAN,2024/03/10,917701714
181,{'$oid': '65edbc48f8472f2ffaac7d62'},383000033,2,1,45,KASIHAN,KAB. BANTUL,2024/03/10,917701678
182,{'$oid': '65edbc48f8472f2ffaac7d63'},190000000,1,1,0,CIBINONG,KAB. BOGOR,2024/03/10,917701652
183,{'$oid': '65edbc48f8472f2ffaac7d64'},{'$numberLong': '18000000000'},6,5,400,MEDAN SUNGGAL,KOTA MEDAN,2024/03/05,917418199
184,{'$oid': '65edbc48f8472f2ffaac7d65'},3600000,4,5,260,WIYUNG,KOTA SURABAYA,2024/02/16,895705807
185,{'$oid': '65edbc48f8472f2ffaac7d66'},425000000,2,1,54,AMBARAWA,KAB. SEMARANG,2024/02/05,884076124
186,{'$oid': '65edbc48f8472f2ffaac7d67'},365000000,4,1,117,CITRALAND,KOTA SURABAYA,2024/01/15,912669584
187,{'$oid': '65edbc48f8472f2ffaac7d68'},2000000004,3,2,103,TANJUNG DUREN,JAKARTA BARAT,2024/03/10,917701640
188,{'$oid': '65edbc48f8472f2ffaac7d69'},690000000,2,1,45,SERPONG UTARA,KOTA TANGERANG SELATAN,2024/03/10,917701612
189,{'$oid': '65edbc48f8472f2ffaac7d6a'},1850000000,3,3,95,BEJI,KOTA DEPOK,2024/03/10,917701608
190,{'$oid': '65edbc48f8472f2ffaac7d6b'},573000000,4,2,77,TEBET,JAKARTA SELATAN,2024/03/10,917701607
