,_id,price,bedroom,bathroom,area,district,city,releaseDate,id
637,{'$oid': '65edbcc87bd0c6316a367850'},750000000,3,2,200,KADIPIRO,KOTA SURAKARTA,2024/03/10,917701076
638,{'$oid': '65edbcc87bd0c6316a367851'},500000000,3,1,128,GONDOKUSUMAN,KOTA YOGYAKARTA,2024/03/10,917701067
639,{'$oid': '65edbcc87bd0c6316a367852'},278000000,2,1,36,KARANGPILANG,KOTA SURABAYA,2024/03/10,917701057
640,{'$oid': '65edbcc87bd0c6316a367853'},299000000,2,1,34,KEDUNGKANDANG,KOTA MALANG,2024/03/10,917701038
641,{'$oid': '65edbcc87bd0c6316a367854'},1100000000,5,3,400,SAWANGAN,KOTA DEPOK,2024/03/10,917701035
642,{'$oid': '65edbcc87bd0c6316a367855'},1650000000,4,3,144,BUMI SERPONG DAMAI,KOTA TANGERANG SELATAN,2024/03/10,917701019
643,{'$oid': '65edbcc87bd0c6316a367856'},250000000,2,1,36,SOOKO,KAB. MOJOKERTO,2024/03/05,912799387
644,{'$oid': '65edbcc87bd0c6316a367857'},350000000,4,2,150,CILEUNYI,KAB. BANDUNG,2024/02/19,916713091
645,{'$oid': '65edbcc87bd0c6316a367858'},280000000,2,1,45,BANJARAN,KAB. BANDUNG,2024/03/10,917673295
646,{'$oid': '65edbcc87bd0c6316a367859'},2100000000,3,2,92,SERPONG,KOTA TANGERANG SELATAN,2024/02/08,916253074
647,{'$oid': '65edbcc87bd0c6316a36785a'},{'$numberLong': '8500000000'},6,4,568,PESANGGRAHAN,JAKARTA SELATAN,2024/03/10,917700998
648,{'$oid': '65edbcc87bd0c6316a36785b'},{'$numberLong': '3250000000'},4,4,230,CIBUBUR,JAKARTA TIMUR,2024/03/10,917700983
649,{'$oid': '65edbcc87bd0c6316a36785c'},680000000,3,2,125,PAYUNG SEKAKI,KOTA PEKANBARU,2024/03/10,917700964
650,{'$oid': '65edbcc87bd0c6316a36785d'},1000000000,3,2,84,MAMPANG PRAPATAN,JAKARTA SELATAN,2024/03/10,917700955
651,{'$oid': '65edbcc87bd0c6316a36785e'},650000000,3,1,193,RAJEG,KAB. TANGERANG,2024/03/10,917700943
652,{'$oid': '65edbcc87bd0c6316a36785f'},500000000,2,1,36,TAMBUN SELATAN,KAB. BEKASI,2024/03/10,917700940
653,{'$oid': '65edbcc87bd0c6316a367860'},750000000,2,2,71,JATINEGARA,JAKARTA TIMUR,2024/03/10,917700935
654,{'$oid': '65edbcc87bd0c6316a367861'},250000258,2,1,50,BATUNUNGGAL,KOTA BANDUNG,2024/03/10,917700921
655,{'$oid': '65edbcc87bd0c6316a367862'},785000000,3,3,135,BALIKPAPAN KOTA,KOTA BALIKPAPAN,2024/03/10,917700691
656,{'$oid': '65edbcc87bd0c6316a367863'},800000001,2,2,55,BEKASI TIMUR,KOTA BEKASI,2024/03/10,917700886
657,{'$oid': '65edbcc87bd0c6316a367864'},{'$numberLong': '2950000000'},3,2,180,PONDOK AREN,KOTA TANGERANG SELATAN,2024/03/10,917700860
658,{'$oid': '65edbcc87bd0c6316a367865'},1250000000,3,3,120,SUKMAJAYA,KOTA DEPOK,2024/02/16,916576680
659,{'$oid': '65edbcc87bd0c6316a367866'},186000000,2,1,30,PURWOREJO,KOTA PASURUAN,2024/02/16,916598913
660,{'$oid': '65edbcc87bd0c6316a367867'},410000000,2,1,50,RUMBAI PESISIR,KOTA PEKANBARU,2024/03/08,917587060
661,{'$oid': '65edbcc87bd0c6316a367868'},{'$numberLong': '2500000000'},3,1,60,UNGARAN TIMUR,KAB. SEMARANG,2024/02/12,916410376
662,{'$oid': '65edbcc87bd0c6316a367869'},120000000,2,1,33,BOGOR BARAT - KOTA,KOTA BOGOR,2024/03/10,917700859
663,{'$oid': '65edbcc87bd0c6316a36786a'},1800000000,4,2,136,BEKASI SELATAN,KOTA BEKASI,2024/03/10,917700855
664,{'$oid': '65edbcc87bd0c6316a36786b'},278500000,2,1,36,MOJOSARI,KAB. MOJOKERTO,2024/03/10,917700829
665,{'$oid': '65edbcc87bd0c6316a36786c'},{'$numberLong': '8990000000'},6,6,500,PAKUWON,KOTA SURABAYA,2024/03/10,917700793
666,{'$oid': '65edbcc87bd0c6316a36786d'},385000000,2,1,55,MEDAN SELAYANG,KOTA MEDAN,2024/03/10,917700775
667,{'$oid': '65edbcc87bd0c6316a36786e'},{'$numberLong': '12500000000'},7,6,650,CITRALAND,KOTA SURABAYA,2024/03/10,917700746
668,{'$oid': '65edbcc87bd0c6316a36786f'},{'$numberLong': '3000000000'},4,3,110,PONDOK AREN,KOTA TANGERANG SELATAN,2024/03/10,917700736
669,{'$oid': '65edbcc87bd0c6316a367870'},{'$numberLong': '2500000000'},4,4,250,BOGOR TENGAH - KOTA,KOTA BOGOR,2024/03/10,917700733
